,YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
79,2015,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,13.2,,,1.9,9.5,16.9,667.0,Male,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
80,2015,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,8.2,,,1.6,4.9,11.4,686.0,Female,All Races,All Ages,High School,"(32.83968109300048, -83.62758034599966)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
109,2015,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.0,,,0.5,2.0,4.0,2174.0,Overall,All Races,All Ages,Middle School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
110,2015,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,7.4,,,0.9,5.6,9.1,1820.0,Overall,All Races,All Ages,High School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
111,2015,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.2,,,0.4,2.4,3.9,1099.0,Male,All Races,All Ages,Middle School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
112,2015,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,8.1,,,1.4,5.4,10.8,878.0,Male,All Races,All Ages,High School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
113,2015,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.8,,,0.9,1.2,4.5,1062.0,Female,All Races,All Ages,Middle School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
114,2015,HI,Hawaii,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,6.6,,,0.9,4.8,8.4,929.0,Female,All Races,All Ages,High School,"(21.304850435000446, -157.85774940299973)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
156,2015,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.0,,,0.3,1.4,2.6,2307.0,Overall,All Races,All Ages,Middle School,"(40.48501028300046, -88.99771017799969)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
157,2015,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,9.9,,,1.1,7.7,12.1,2211.0,Overall,All Races,All Ages,High School,"(40.48501028300046, -88.99771017799969)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
158,2015,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,1.6,,,0.5,0.6,2.6,1157.0,Male,All Races,All Ages,Middle School,"(40.48501028300046, -88.99771017799969)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
159,2015,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,9.4,,,1.2,7.0,11.8,1190.0,Male,All Races,All Ages,High School,"(40.48501028300046, -88.99771017799969)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
160,2015,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.5,,,0.5,1.5,3.4,1143.0,Female,All Races,All Ages,Middle School,"(40.48501028300046, -88.99771017799969)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
161,2015,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,10.0,,,1.5,7.1,13.0,1016.0,Female,All Races,All Ages,High School,"(40.48501028300046, -88.99771017799969)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
198,2015,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,5.2,,,0.9,3.4,7.1,1208.0,Overall,All Races,All Ages,Middle School,"(31.31266064400046, -92.44568007099969)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
199,2015,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.4,,,1.0,2.4,6.3,544.0,Male,All Races,All Ages,Middle School,"(31.31266064400046, -92.44568007099969)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
200,2015,LA,Louisiana,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,6.0,,,1.3,3.5,8.5,659.0,Female,All Races,All Ages,Middle School,"(31.31266064400046, -92.44568007099969)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
228,2015,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.7,,,0.8,3.2,6.2,1395.0,Overall,All Races,All Ages,Middle School,"(32.745510099000455, -89.53803082499968)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
229,2015,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,12.2,,,1.3,9.7,14.8,1613.0,Overall,All Races,All Ages,High School,"(32.745510099000455, -89.53803082499968)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
230,2015,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,6.2,,,1.2,3.9,8.5,673.0,Male,All Races,All Ages,Middle School,"(32.745510099000455, -89.53803082499968)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
231,2015,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,14.9,,,1.7,11.6,18.2,769.0,Male,All Races,All Ages,High School,"(32.745510099000455, -89.53803082499968)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
232,2015,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.2,,,0.7,1.8,4.5,719.0,Female,All Races,All Ages,Middle School,"(32.745510099000455, -89.53803082499968)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
233,2015,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,9.6,,,1.2,7.2,12.0,820.0,Female,All Races,All Ages,High School,"(32.745510099000455, -89.53803082499968)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
268,2015,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.4,,,0.5,1.5,3.4,1698.0,Overall,All Races,All Ages,Middle School,"(38.635790776000476, -92.56630005299968)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
269,2015,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.7,,,0.8,1.3,4.2,842.0,Male,All Races,All Ages,Middle School,"(38.635790776000476, -92.56630005299968)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
270,2015,MO,Missouri,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.1,,,0.6,0.9,3.3,846.0,Female,All Races,All Ages,Middle School,"(38.635790776000476, -92.56630005299968)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
296,2015,NE,Nebraska,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,9.4,,,1.0,7.4,11.4,2310.0,Overall,All Races,All Ages,High School,"(41.6410409880005, -99.36572062299967)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
297,2015,NE,Nebraska,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,9.7,,,1.3,7.2,12.3,1130.0,Male,All Races,All Ages,High School,"(41.6410409880005, -99.36572062299967)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
298,2015,NE,Nebraska,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,9.0,,,1.3,6.4,11.5,1176.0,Female,All Races,All Ages,High School,"(41.6410409880005, -99.36572062299967)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
326,2015,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,1.2,,,0.3,0.6,1.7,2068.0,Overall,All Races,All Ages,Middle School,"(40.13057004800049, -74.27369128799967)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
327,2015,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,8.2,,,1.0,6.3,10.1,3794.0,Overall,All Races,All Ages,High School,"(40.13057004800049, -74.27369128799967)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
328,2015,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,1.3,,,0.4,0.5,2.1,975.0,Male,All Races,All Ages,Middle School,"(40.13057004800049, -74.27369128799967)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
329,2015,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,9.0,,,1.2,6.5,11.4,1895.0,Male,All Races,All Ages,High School,"(40.13057004800049, -74.27369128799967)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
330,2015,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,1.1,,,0.3,0.4,1.7,1082.0,Female,All Races,All Ages,Middle School,"(40.13057004800049, -74.27369128799967)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
331,2015,NJ,New Jersey,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,7.4,,,1.0,5.5,9.3,1891.0,Female,All Races,All Ages,High School,"(40.13057004800049, -74.27369128799967)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
374,2015,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.3,,,0.3,1.7,3.0,3444.0,Overall,All Races,All Ages,Middle School,"(35.466220975000454, -79.15925046299964)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
375,2015,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,9.3,,,0.9,7.6,11.1,3330.0,Overall,All Races,All Ages,High School,"(35.466220975000454, -79.15925046299964)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
376,2015,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.3,,,0.5,1.2,3.4,1745.0,Male,All Races,All Ages,Middle School,"(35.466220975000454, -79.15925046299964)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
377,2015,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,10.5,,,1.0,8.5,12.5,1701.0,Male,All Races,All Ages,High School,"(35.466220975000454, -79.15925046299964)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
378,2015,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.4,,,0.3,1.8,3.1,1692.0,Female,All Races,All Ages,Middle School,"(35.466220975000454, -79.15925046299964)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
379,2015,NC,North Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,8.1,,,1.0,6.1,10.1,1624.0,Female,All Races,All Ages,High School,"(35.466220975000454, -79.15925046299964)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
422,2015,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.6,,,0.7,2.3,4.9,1854.0,Overall,All Races,All Ages,Middle School,"(47.47531977900047, -100.11842104899966)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
423,2015,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,12.4,,,1.3,9.8,15.1,1863.0,Overall,All Races,All Ages,High School,"(47.47531977900047, -100.11842104899966)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
424,2015,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.9,,,0.7,1.5,4.3,927.0,Male,All Races,All Ages,Middle School,"(47.47531977900047, -100.11842104899966)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
425,2015,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,13.5,,,1.7,10.3,16.8,954.0,Male,All Races,All Ages,High School,"(47.47531977900047, -100.11842104899966)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
426,2015,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.4,,,0.9,2.6,6.1,917.0,Female,All Races,All Ages,Middle School,"(47.47531977900047, -100.11842104899966)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
427,2015,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,11.0,,,1.5,8.2,13.9,905.0,Female,All Races,All Ages,High School,"(47.47531977900047, -100.11842104899966)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
470,2015,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,1.3,,,0.3,0.7,1.8,2626.0,Overall,All Races,All Ages,Middle School,"(40.79373015200048, -77.86070029399963)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
471,2015,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,10.3,,,1.4,7.6,13.0,1987.0,Overall,All Races,All Ages,High School,"(40.79373015200048, -77.86070029399963)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
472,2015,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,0.9,,,0.3,0.4,1.5,1286.0,Male,All Races,All Ages,Middle School,"(40.79373015200048, -77.86070029399963)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
473,2015,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,11.1,,,1.9,7.4,14.9,1034.0,Male,All Races,All Ages,High School,"(40.79373015200048, -77.86070029399963)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
474,2015,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,1.6,,,0.5,0.7,2.6,1333.0,Female,All Races,All Ages,Middle School,"(40.79373015200048, -77.86070029399963)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
475,2015,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,9.4,,,1.4,6.6,12.1,947.0,Female,All Races,All Ages,High School,"(40.79373015200048, -77.86070029399963)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
512,2015,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,11.9,,,1.0,9.9,14.0,1422.0,Overall,All Races,All Ages,High School,"(33.998821303000454, -81.04537120699968)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
513,2015,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,15.6,,,1.5,12.7,18.4,701.0,Male,All Races,All Ages,High School,"(33.998821303000454, -81.04537120699968)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
514,2015,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,8.1,,,0.9,6.3,9.9,719.0,Female,All Races,All Ages,High School,"(33.998821303000454, -81.04537120699968)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
542,2015,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.6,,,0.7,3.1,6.0,1848.0,Overall,All Races,All Ages,Middle School,"(38.66551020200046, -80.71264013499967)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
543,2015,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,16.2,,,1.5,13.4,19.1,1619.0,Overall,All Races,All Ages,High School,"(38.66551020200046, -80.71264013499967)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
544,2015,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,5.1,,,1.1,3.1,7.2,887.0,Male,All Races,All Ages,Middle School,"(38.66551020200046, -80.71264013499967)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
545,2015,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,17.5,,,2.1,13.4,21.6,770.0,Male,All Races,All Ages,High School,"(38.66551020200046, -80.71264013499967)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
546,2015,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.9,,,0.7,2.5,5.3,953.0,Female,All Races,All Ages,Middle School,"(38.66551020200046, -80.71264013499967)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
547,2015,WV,West Virginia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,15.0,,,1.9,11.3,18.7,839.0,Female,All Races,All Ages,High School,"(38.66551020200046, -80.71264013499967)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
590,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,17.7,,,1.7,14.4,21.1,1274.0,Overall,All Races,All Ages,High School,"(32.84057112200048, -86.63186076199969)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
591,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,6.4,,,0.8,4.8,8.1,1379.0,Overall,All Races,All Ages,Middle School,"(32.84057112200048, -86.63186076199969)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
592,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,20.9,,,2.7,15.6,26.1,656.0,Male,All Races,All Ages,High School,"(32.84057112200048, -86.63186076199969)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
593,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,4.9,,,1.0,3.0,6.9,626.0,Male,All Races,All Ages,Middle School,"(32.84057112200048, -86.63186076199969)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
594,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,14.5,,,1.7,11.1,17.9,618.0,Female,All Races,All Ages,High School,"(32.84057112200048, -86.63186076199969)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
595,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,8.0,,,1.5,5.0,11.0,752.0,Female,All Races,All Ages,Middle School,"(32.84057112200048, -86.63186076199969)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
632,2014,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.7,,,0.4,2.0,3.4,2272.0,Overall,All Races,All Ages,Middle School,"(39.008830667000495, -75.57774116799965)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
633,2014,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,11.3,,,1.1,9.2,13.4,2004.0,Overall,All Races,All Ages,High School,"(39.008830667000495, -75.57774116799965)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS07,7
634,2014,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,12.3,,,1.5,9.4,15.3,965.0,Male,All Races,All Ages,High School,"(39.008830667000495, -75.57774116799965)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS07,7
635,2014,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,3.4,,,0.6,2.3,4.6,1161.0,Male,All Races,All Ages,Middle School,"(39.008830667000495, -75.57774116799965)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS07,7
636,2014,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,10.1,,,1.1,8.0,12.2,1033.0,Female,All Races,All Ages,High School,"(39.008830667000495, -75.57774116799965)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS07,7
637,2014,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,2.0,,,0.4,1.3,2.7,1094.0,Female,All Races,All Ages,Middle School,"(39.008830667000495, -75.57774116799965)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS07,7
