"","X1","YEAR","LocationAbbr","LocationDesc","TopicType","TopicDesc","MeasureDesc","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value_Footnote_Symbol","Data_Value_Footnote","Data_Value_Std_Err","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Gender","Race","Age","Education","GeoLocation","TopicTypeId","TopicId","MeasureId","StratificationID1","StratificationID2","StratificationID3","StratificationID4","SubMeasureID","DisplayOrder","Current"
"11",79,2015,"GA","Georgia","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.9,9.5,16.9,667,"Male","All Races","All Ages","High School","(32.83968109300048, -83.62758034599966)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","2EDU","YTS07",7,13.2
"12",80,2015,"GA","Georgia","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.6,4.9,11.4,686,"Female","All Races","All Ages","High School","(32.83968109300048, -83.62758034599966)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","2EDU","YTS07",7,8.2
"13",109,2015,"HI","Hawaii","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.5,2,4,2174,"Overall","All Races","All Ages","Middle School","(21.304850435000446, -157.85774940299973)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS07",7,3
"14",110,2015,"HI","Hawaii","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.9,5.6,9.1,1820,"Overall","All Races","All Ages","High School","(21.304850435000446, -157.85774940299973)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","2EDU","YTS07",7,7.4
"15",111,2015,"HI","Hawaii","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.4,2.4,3.9,1099,"Male","All Races","All Ages","Middle School","(21.304850435000446, -157.85774940299973)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS07",7,3.2
"16",112,2015,"HI","Hawaii","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.4,5.4,10.8,878,"Male","All Races","All Ages","High School","(21.304850435000446, -157.85774940299973)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","2EDU","YTS07",7,8.1
"17",113,2015,"HI","Hawaii","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.9,1.2,4.5,1062,"Female","All Races","All Ages","Middle School","(21.304850435000446, -157.85774940299973)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS07",7,2.8
"18",114,2015,"HI","Hawaii","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.9,4.8,8.4,929,"Female","All Races","All Ages","High School","(21.304850435000446, -157.85774940299973)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","2EDU","YTS07",7,6.6
"19",156,2015,"IL","Illinois","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.3,1.4,2.6,2307,"Overall","All Races","All Ages","Middle School","(40.48501028300046, -88.99771017799969)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS07",7,2
"20",157,2015,"IL","Illinois","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.1,7.7,12.1,2211,"Overall","All Races","All Ages","High School","(40.48501028300046, -88.99771017799969)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","2EDU","YTS07",7,9.9
"21",158,2015,"IL","Illinois","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.5,0.6,2.6,1157,"Male","All Races","All Ages","Middle School","(40.48501028300046, -88.99771017799969)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS07",7,1.6
"22",159,2015,"IL","Illinois","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.2,7,11.8,1190,"Male","All Races","All Ages","High School","(40.48501028300046, -88.99771017799969)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","2EDU","YTS07",7,9.4
"23",160,2015,"IL","Illinois","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.5,1.5,3.4,1143,"Female","All Races","All Ages","Middle School","(40.48501028300046, -88.99771017799969)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS07",7,2.5
"24",161,2015,"IL","Illinois","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.5,7.1,13,1016,"Female","All Races","All Ages","High School","(40.48501028300046, -88.99771017799969)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","2EDU","YTS07",7,10
"25",198,2015,"LA","Louisiana","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.9,3.4,7.1,1208,"Overall","All Races","All Ages","Middle School","(31.31266064400046, -92.44568007099969)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS07",7,5.2
"26",199,2015,"LA","Louisiana","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1,2.4,6.3,544,"Male","All Races","All Ages","Middle School","(31.31266064400046, -92.44568007099969)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS07",7,4.4
"27",200,2015,"LA","Louisiana","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.3,3.5,8.5,659,"Female","All Races","All Ages","Middle School","(31.31266064400046, -92.44568007099969)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS07",7,6
"28",228,2015,"MS","Mississippi","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.8,3.2,6.2,1395,"Overall","All Races","All Ages","Middle School","(32.745510099000455, -89.53803082499968)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS07",7,4.7
"29",229,2015,"MS","Mississippi","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.3,9.7,14.8,1613,"Overall","All Races","All Ages","High School","(32.745510099000455, -89.53803082499968)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","2EDU","YTS07",7,12.2
"30",230,2015,"MS","Mississippi","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.2,3.9,8.5,673,"Male","All Races","All Ages","Middle School","(32.745510099000455, -89.53803082499968)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS07",7,6.2
"31",231,2015,"MS","Mississippi","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.7,11.6,18.2,769,"Male","All Races","All Ages","High School","(32.745510099000455, -89.53803082499968)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","2EDU","YTS07",7,14.9
"32",232,2015,"MS","Mississippi","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.7,1.8,4.5,719,"Female","All Races","All Ages","Middle School","(32.745510099000455, -89.53803082499968)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS07",7,3.2
"33",233,2015,"MS","Mississippi","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.2,7.2,12,820,"Female","All Races","All Ages","High School","(32.745510099000455, -89.53803082499968)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","2EDU","YTS07",7,9.6
"34",268,2015,"MO","Missouri","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.5,1.5,3.4,1698,"Overall","All Races","All Ages","Middle School","(38.635790776000476, -92.56630005299968)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS07",7,2.4
"35",269,2015,"MO","Missouri","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.8,1.3,4.2,842,"Male","All Races","All Ages","Middle School","(38.635790776000476, -92.56630005299968)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS07",7,2.7
"36",270,2015,"MO","Missouri","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.6,0.9,3.3,846,"Female","All Races","All Ages","Middle School","(38.635790776000476, -92.56630005299968)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS07",7,2.1
"37",296,2015,"NE","Nebraska","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1,7.4,11.4,2310,"Overall","All Races","All Ages","High School","(41.6410409880005, -99.36572062299967)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","2EDU","YTS07",7,9.4
"38",297,2015,"NE","Nebraska","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.3,7.2,12.3,1130,"Male","All Races","All Ages","High School","(41.6410409880005, -99.36572062299967)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","2EDU","YTS07",7,9.7
"39",298,2015,"NE","Nebraska","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.3,6.4,11.5,1176,"Female","All Races","All Ages","High School","(41.6410409880005, -99.36572062299967)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","2EDU","YTS07",7,9
"40",326,2015,"NJ","New Jersey","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.3,0.6,1.7,2068,"Overall","All Races","All Ages","Middle School","(40.13057004800049, -74.27369128799967)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS07",7,1.2
"41",327,2015,"NJ","New Jersey","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1,6.3,10.1,3794,"Overall","All Races","All Ages","High School","(40.13057004800049, -74.27369128799967)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","2EDU","YTS07",7,8.2
"42",328,2015,"NJ","New Jersey","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.4,0.5,2.1,975,"Male","All Races","All Ages","Middle School","(40.13057004800049, -74.27369128799967)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS07",7,1.3
"43",329,2015,"NJ","New Jersey","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.2,6.5,11.4,1895,"Male","All Races","All Ages","High School","(40.13057004800049, -74.27369128799967)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","2EDU","YTS07",7,9
"44",330,2015,"NJ","New Jersey","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.3,0.4,1.7,1082,"Female","All Races","All Ages","Middle School","(40.13057004800049, -74.27369128799967)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS07",7,1.1
"45",331,2015,"NJ","New Jersey","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1,5.5,9.3,1891,"Female","All Races","All Ages","High School","(40.13057004800049, -74.27369128799967)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","2EDU","YTS07",7,7.4
"46",374,2015,"NC","North Carolina","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.3,1.7,3,3444,"Overall","All Races","All Ages","Middle School","(35.466220975000454, -79.15925046299964)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS07",7,2.3
"47",375,2015,"NC","North Carolina","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.9,7.6,11.1,3330,"Overall","All Races","All Ages","High School","(35.466220975000454, -79.15925046299964)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","2EDU","YTS07",7,9.3
"48",376,2015,"NC","North Carolina","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.5,1.2,3.4,1745,"Male","All Races","All Ages","Middle School","(35.466220975000454, -79.15925046299964)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS07",7,2.3
"49",377,2015,"NC","North Carolina","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1,8.5,12.5,1701,"Male","All Races","All Ages","High School","(35.466220975000454, -79.15925046299964)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","2EDU","YTS07",7,10.5
"50",378,2015,"NC","North Carolina","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.3,1.8,3.1,1692,"Female","All Races","All Ages","Middle School","(35.466220975000454, -79.15925046299964)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS07",7,2.4
"51",379,2015,"NC","North Carolina","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1,6.1,10.1,1624,"Female","All Races","All Ages","High School","(35.466220975000454, -79.15925046299964)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","2EDU","YTS07",7,8.1
"52",422,2015,"ND","North Dakota","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.7,2.3,4.9,1854,"Overall","All Races","All Ages","Middle School","(47.47531977900047, -100.11842104899966)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS07",7,3.6
"53",423,2015,"ND","North Dakota","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.3,9.8,15.1,1863,"Overall","All Races","All Ages","High School","(47.47531977900047, -100.11842104899966)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","2EDU","YTS07",7,12.4
"54",424,2015,"ND","North Dakota","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.7,1.5,4.3,927,"Male","All Races","All Ages","Middle School","(47.47531977900047, -100.11842104899966)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS07",7,2.9
"55",425,2015,"ND","North Dakota","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.7,10.3,16.8,954,"Male","All Races","All Ages","High School","(47.47531977900047, -100.11842104899966)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","2EDU","YTS07",7,13.5
"56",426,2015,"ND","North Dakota","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.9,2.6,6.1,917,"Female","All Races","All Ages","Middle School","(47.47531977900047, -100.11842104899966)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS07",7,4.4
"57",427,2015,"ND","North Dakota","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.5,8.2,13.9,905,"Female","All Races","All Ages","High School","(47.47531977900047, -100.11842104899966)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","2EDU","YTS07",7,11
"58",470,2015,"PA","Pennsylvania","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.3,0.7,1.8,2626,"Overall","All Races","All Ages","Middle School","(40.79373015200048, -77.86070029399963)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS07",7,1.3
"59",471,2015,"PA","Pennsylvania","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.4,7.6,13,1987,"Overall","All Races","All Ages","High School","(40.79373015200048, -77.86070029399963)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","2EDU","YTS07",7,10.3
"60",472,2015,"PA","Pennsylvania","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.3,0.4,1.5,1286,"Male","All Races","All Ages","Middle School","(40.79373015200048, -77.86070029399963)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS07",7,0.9
"61",473,2015,"PA","Pennsylvania","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.9,7.4,14.9,1034,"Male","All Races","All Ages","High School","(40.79373015200048, -77.86070029399963)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","2EDU","YTS07",7,11.1
"62",474,2015,"PA","Pennsylvania","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.5,0.7,2.6,1333,"Female","All Races","All Ages","Middle School","(40.79373015200048, -77.86070029399963)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS07",7,1.6
"63",475,2015,"PA","Pennsylvania","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.4,6.6,12.1,947,"Female","All Races","All Ages","High School","(40.79373015200048, -77.86070029399963)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","2EDU","YTS07",7,9.4
"64",512,2015,"SC","South Carolina","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1,9.9,14,1422,"Overall","All Races","All Ages","High School","(33.998821303000454, -81.04537120699968)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","2EDU","YTS07",7,11.9
"65",513,2015,"SC","South Carolina","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.5,12.7,18.4,701,"Male","All Races","All Ages","High School","(33.998821303000454, -81.04537120699968)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","2EDU","YTS07",7,15.6
"66",514,2015,"SC","South Carolina","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.9,6.3,9.9,719,"Female","All Races","All Ages","High School","(33.998821303000454, -81.04537120699968)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","2EDU","YTS07",7,8.1
"67",542,2015,"WV","West Virginia","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.7,3.1,6,1848,"Overall","All Races","All Ages","Middle School","(38.66551020200046, -80.71264013499967)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS07",7,4.6
"68",543,2015,"WV","West Virginia","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.5,13.4,19.1,1619,"Overall","All Races","All Ages","High School","(38.66551020200046, -80.71264013499967)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","2EDU","YTS07",7,16.2
"69",544,2015,"WV","West Virginia","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.1,3.1,7.2,887,"Male","All Races","All Ages","Middle School","(38.66551020200046, -80.71264013499967)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS07",7,5.1
"70",545,2015,"WV","West Virginia","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,2.1,13.4,21.6,770,"Male","All Races","All Ages","High School","(38.66551020200046, -80.71264013499967)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","2EDU","YTS07",7,17.5
"71",546,2015,"WV","West Virginia","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.7,2.5,5.3,953,"Female","All Races","All Ages","Middle School","(38.66551020200046, -80.71264013499967)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS07",7,3.9
"72",547,2015,"WV","West Virginia","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.9,11.3,18.7,839,"Female","All Races","All Ages","High School","(38.66551020200046, -80.71264013499967)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","2EDU","YTS07",7,15
"73",590,2014,"AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.7,14.4,21.1,1274,"Overall","All Races","All Ages","High School","(32.84057112200048, -86.63186076199969)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","2EDU","YTS07",7,17.7
"74",591,2014,"AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.8,4.8,8.1,1379,"Overall","All Races","All Ages","Middle School","(32.84057112200048, -86.63186076199969)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS07",7,6.4
"75",592,2014,"AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,2.7,15.6,26.1,656,"Male","All Races","All Ages","High School","(32.84057112200048, -86.63186076199969)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","2EDU","YTS07",7,20.9
"76",593,2014,"AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1,3,6.9,626,"Male","All Races","All Ages","Middle School","(32.84057112200048, -86.63186076199969)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS07",7,4.9
"77",594,2014,"AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.7,11.1,17.9,618,"Female","All Races","All Ages","High School","(32.84057112200048, -86.63186076199969)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","2EDU","YTS07",7,14.5
"78",595,2014,"AL","Alabama","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.5,5,11,752,"Female","All Races","All Ages","Middle School","(32.84057112200048, -86.63186076199969)","BEH","106BEH","166SSA","3GEN","8AGE","6RAC","1EDU","YTS07",7,8
"79",632,2014,"DE","Delaware","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.4,2,3.4,2272,"Overall","All Races","All Ages","Middle School","(39.008830667000495, -75.57774116799965)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","1EDU","YTS07",7,2.7
"80",633,2014,"DE","Delaware","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.1,9.2,13.4,2004,"Overall","All Races","All Ages","High School","(39.008830667000495, -75.57774116799965)","BEH","106BEH","166SSA","1GEN","8AGE","6RAC","2EDU","YTS07",7,11.3
"81",634,2014,"DE","Delaware","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,1.5,9.4,15.3,965,"Male","All Races","All Ages","High School","(39.008830667000495, -75.57774116799965)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","2EDU","YTS07",7,12.3
"82",635,2014,"DE","Delaware","Tobacco Use – Survey Data","Cigarette Use (Youth)","Smoking Status","YTS","%","Percentage",NA,NA,0.6,2.3,4.6,1161,"Male","All Races","All Ages","Middle School","(39.008830667000495, -75.57774116799965)","BEH","106BEH","166SSA","2GEN","8AGE","6RAC","1EDU","YTS07",7,3.4
